x y symb x_pl y_pl
2 0  Nu    0    0
2 1  Nu    0    1
1 1  O    0    2
0 1  X    1    0
1 0  O    1    1
2 0  X    1    2
1 1  O    2    0
0 1  X    2    1
1 0  X    2    2
x y symb x_pl y_pl
2 0  Nu    0    0
2 1  Nu    0    1
1 0  O    0    2
2 0  X    1    0
1 0  O    1    1
2 0  X    1    2
1 1  O    2    0
0 1  X    2    1
0 0  X    2    2
x y symb x_pl y_pl
2 0  Nu    0    0
2 1  Nu    0    1
1 1  O    0    2
0 1  X    1    0
1 0  O    1    1
2 0  X    1    2
2 1  O    2    0
0 1  X    2    1
0 0  X    2    2
x y symb x_pl y_pl
2 0  Nu    0    0
2 1  Nu    0    1
1 1  O    0    2
1 1  X    1    0
1 0  O    1    1
2 0  O    1    2
1 1  O    2    0
0 1  X    2    1
0 0  X    2    2
x y symb x_pl y_pl
2 0  Nu    0    0
2 1  Nu    0    1
1 1  O    0    2
0 1  X    1    0
1 0  O    1    1
2 0  O    1    2
1 1  O    2    0
0 1  X    2    1
0 0  X    2    2
x y symb x_pl y_pl
2 0  Nu    0    0
2 1  Nu    0    1
1 1  O    0    2
1 1  X    1    0
1 0  O    1    1
2 0  X    1    2
2 1  O    2    0
0 1  X    2    1
0 0  X    2    2
x y symb x_pl y_pl
2 0  Nu    0    0
2 1  Nu    0    1
1 1  O    0    2
1 1  X    1    0
1 0  O    1    1
2 0  X    1    2
2 1  O    2    0
0 1  X    2    1
0 0  X    2    2
x y symb x_pl y_pl
2 0  Nu    0    0
2 1  Nu    0    1
1 1  O    0    2
0 1  X    1    0
1 0  O    1    1
2 0  O    1    2
1 1  O    2    0
0 1  X    2    1
0 0  X    2    2
x y symb x_pl y_pl
2 0  Nu    0    0
2 1  Nu    0    1
1 1  O    0    2
0 1  X    1    0
1 0  O    1    1
2 0  X    1    2
2 1  O    2    0
0 1  X    2    1
0 0  X    2    2
x y symb x_pl y_pl
2 0  Nu    0    0
2 1  Nu    0    1
1 1  O    0    2
1 1  X    1    0
1 0  O    1    1
2 0  O    1    2
1 1  O    2    0
0 1  X    2    1
0 0  X    2    2
x y symb x_pl y_pl
2 0  Nu    0    0
2 1  Nu    0    1
1 1  O    0    2
1 1  X    1    0
1 0  O    1    1
2 0  X    1    2
2 2  O    2    0
0 1  X    2    1
0 0  X    2    2
x y symb x_pl y_pl
2 0  Nu    0    0
2 1  Nu    0    1
1 2  O    0    2
2 0  X    1    0
1 0  O    1    1
2 0  X    1    2
1 1  O    2    0
0 1  X    2    1
0 0  X    2    2
x y symb x_pl y_pl
2 0  Nu    0    0
2 1  Nu    0    1
1 1  O    0    2
0 1  X    1    0
1 0  O    1    1
2 0  X    1    2
2 2  O    2    0
0 1  X    2    1
0 0  X    2    2
x y symb x_pl y_pl
2 0  Nu    0    0
2 1  Nu    0    1
1 1  O    0    2
1 1  X    1    0
1 0  O    1    1
2 0  O    1    2
1 1  O    2    0
0 1  X    2    1
0 0  X    2    2
x y symb x_pl y_pl
2 0  Nu    0    0
2 1  Nu    0    1
1 1  O    0    2
1 1  X    1    0
1 0  O    1    1
2 0  X    1    2
2 2  O    2    0
0 1  X    2    1
0 0  X    2    2
x y symb x_pl y_pl
2 0  Nu    0    0
2 1  Nu    0    1
1 1  O    0    2
0 1  X    1    0
1 0  O    1    1
2 0  O    1    2
1 1  O    2    0
0 1  X    2    1
0 0  X    2    2


[66.1, 76.0, 63.5, 78.0, 70.5, 77.4, 77.8, 69.5, 63.0, 80.0, 70.0, 64.5, 66.5, 80.0, 71.0, 71.0]
